song|artist|year|genre|numUnique|totalWords|love_words|god_words|dance_words|cool_words|rock_words|swear_words|family_words|baby_words|money_words|funky_words|chill_words|cw1|cwc1|cw2|cwc2|cw3|cwc3|cw4|cwc4|cw5|cwc5|cw6|cwc6|cw7|cwc7|cw8|cwc8|cw9|cwc9|cw10|cwc10
The Slider|T. Rex|1972|rock|53|240|0|0|0|0|3|0|0|3|0|0|0|yeah|32|metal|21|guru|21|oh|7|know|4|could|3|gon|3|bring|3|baby|3|wild|3
The Slider|T. Rex|1972|rock|55|180|0|0|0|0|0|0|0|42|0|0|0|baby|30|babe|12|badadadada|12|yeah|8|yea|5|riding|5|life|4|keep|4|hard|4|road|4
The Slider|T. Rex|1972|rock|38|57|5|0|0|0|2|0|0|0|0|0|0|everyone|9|loves|4|rock|2|everybody|1|desolation|1|angels|1|cover|1|paper|1|love|1|mild|1
The Slider|T. Rex|1972|rock|48|127|2|0|0|0|0|0|0|0|0|0|0|never|7|slide|6|like|4|sad|4|ball|2|love|2|could|2|always|2|see|1|cosmic|1
The Slider|T. Rex|1972|rock|95|191|0|0|0|0|0|0|5|8|0|0|0|baby|8|boomerang|8|well|4|never|4|spike|4|person|4|always|4|bang|4|whole|4|gang|4
The Slider|T. Rex|1972|rock|85|226|1|0|0|0|0|0|0|1|0|0|0|aaaah|6|aaah|6|spaceball|6|ricochet|4|play|3|understand|2|wind|2|things|2|make|2|children|2
The Slider|T. Rex|1972|rock|27|46|0|0|0|0|1|0|0|0|0|0|0|help|2|roll|2|slider|2|sexual|2|glider|2|buick|1|mackane|1|girl|1|rainy|1|lady|1
The Slider|T. Rex|1972|rock|72|191|0|0|0|0|0|0|0|0|0|1|0|telegram|13|sam|13|main|8|bobby|4|alright|4|jake|4|jungle|3|faced|3|howling|3|wolf|3
The Slider|T. Rex|1972|rock|53|175|0|0|0|0|0|0|0|4|0|0|0|rabbit|16|call|12|fighter|12|know|8|true|4|babe|4|fight|4|oh|4|yes|2|tying|1
The Slider|T. Rex|1972|rock|60|162|0|0|0|0|0|0|0|9|0|0|0|baby|9|strange|8|lame|8|wan|7|ooh|6|bubbly|2|boo|2|yeah|2|see|2|call|2
The Slider|T. Rex|1972|rock|100|227|0|0|4|0|2|0|2|0|0|0|0|night|4|knows|4|diamond|3|call|3|dance|3|talk|2|day|2|talking|2|bout|2|time|2
The Slider|T. Rex|1972|rock|61|191|0|0|0|0|0|0|0|8|0|0|0|know|12|baby|8|like|4|gon|4|go|4|ooo|4|yea|4|got|3|planets|2|move|2
The Slider|T. Rex|1972|rock|48|142|0|1|0|0|2|0|0|2|0|0|0|yes|6|watch|3|glow|3|heaven|2|hot|2|babe|2|everso|2|bolan|2|likes|2|rock|2
Heavy Weather|Weather Report|1977|jazz|8|347|0|0|0|0|0|0|0|0|0|0|0|doo|101|boo|40|bee|37|dee|33|daa|17|bap|1|NA|0|NA|0|NA|0|NA|0
Heavy Weather|Weather Report|1977|jazz|12|12|0|0|0|0|0|1|0|0|0|0|0|keyboards|1|joe|1|zawinul|1|bass|1|jaco|1|pastorius|1|schlagzeug|1|alex|1|acuña|1|perkussion|1
All Eyez on Me|2Pac|1996|hip hop|340|1031|1|1|0|0|0|33|1|2|10|0|0|ridah|17|got|14|niggas|10|fuck|9|nigga|9|ambitions|9|deny|7|straight|7|wan|7|police|6
All Eyez on Me|2Pac|1996|hip hop|297|922|3|0|0|0|0|19|2|2|1|0|0|go|22|every|20|see|15|video|15|hoes|10|city|9|matter|8|yeah|7|know|7|bitch|7
All Eyez on Me|2Pac|1996|hip hop|293|780|0|0|0|1|0|29|1|4|2|0|0|scandalous|45|bitch|7|know|6|got|6|niggas|6|bitches|5|nigga|5|ass|5|shit|4|like|4
All Eyez on Me|2Pac|1996|hip hop|506|1027|0|0|0|0|2|20|2|0|1|1|0|like|15|get|15|got|8|ass|5|mc|4|ride|4|night|4|mind|4|motherfuckers|3|verbal|3
All Eyez on Me|2Pac|1996|hip hop|301|981|2|0|0|1|0|13|2|2|15|1|0|nigga|21|livin|16|game|15|feel|13|comin|13|cash|13|fast|13|lane|13|real|13|like|7
All Eyez on Me|2Pac|1996|hip hop|304|860|1|0|0|0|0|26|1|1|0|0|0|nothin|33|gangsta|33|party|33|motherfuckin|10|got|10|get|8|niggas|6|like|4|shit|4|two|3
All Eyez on Me|2Pac|1996|hip hop|308|978|1|0|0|0|0|39|3|1|1|0|0|pain|30|nigga|19|niggas|15|brain|13|hardcore|11|came|11|let|10|bring|9|go|9|inside|9
All Eyez on Me|2Pac|1996|hip hop|319|797|0|0|0|0|0|20|0|2|4|0|0|niggas|15|nigga|10|gon|8|cause|6|real|6|get|6|hearts|5|start|4|let|4|ride|4
All Eyez on Me|2Pac|1996|hip hop|293|974|1|0|0|0|1|6|10|3|1|0|0|life|20|niggas|16|nigga|14|goes|14|rest|10|g|10|last|10|left|10|brothers|9|peace|9
All Eyez on Me|2Pac|1996|hip hop|358|980|2|46|0|0|0|13|3|2|0|0|0|god|46|judge|34|cause|8|get|6|everybody|6|got|6|like|5|see|4|tell|4|live|4
All Eyez on Me|2Pac|1996|hip hop|373|1114|1|3|0|0|0|15|3|0|5|2|0|niggas|29|stories|25|tradin|22|look|20|eyes|20|outlawz|19|rise|19|jealous|19|despise|19|nigga|9
All Eyez on Me|2Pac|1996|hip hop|241|751|5|0|1|0|10|1|0|13|2|0|0|shake|42|city|24|california|13|baby|13|keep|10|rocking|10|knows|8|party|8|compton|8|cali|8
All Eyez on Me|2Pac|1996|hip hop|341|954|1|1|0|0|1|16|4|0|2|0|0|cha|27|mad|24|got|10|cause|8|know|6|shit|5|niggas|5|even|5|us|4|changed|4
All Eyez on Me|2Pac|1996|hip hop|309|1048|1|1|0|0|3|27|0|23|1|0|0|baby|23|yeah|11|wan|10|shit|10|know|10|got|9|phone|8|number|8|let|8|gon|8
All Eyez on Me|2Pac|1996|hip hop|293|831|0|0|0|0|0|15|0|4|4|0|0|see|35|niggas|20|nigga|8|thug|7|eyes|6|like|6|go|6|realize|5|way|5|never|4
All Eyez on Me|2Pac|1996|hip hop|191|605|2|0|0|0|0|4|0|1|1|0|0|gon|33|said|23|wan|17|thug|16|shorty|15|day|11|nigga|10|getting|5|got|4|niggas|4
All Eyez on Me|2Pac|1996|hip hop|271|1005|1|0|0|0|0|10|2|0|13|4|0|better|31|nigga|22|got|16|let|16|see|16|holla|16|evil|12|money|12|trap|12|careful|10
All Eyez on Me|2Pac|1996|hip hop|258|851|3|0|0|0|0|50|2|5|4|0|0|bitch|42|call|38|wonda|30|betcha|12|cause|7|wonder|6|get|5|got|5|baby|5|money|4
All Eyez on Me|2Pac|1996|hip hop|445|982|0|0|0|0|1|31|1|3|2|0|0|nigga|15|niggas|14|like|12|thug|7|make|6|see|6|ride|6|outlaw|5|immortalz|5|alias|5
All Eyez on Me|2Pac|1996|hip hop|328|968|0|0|0|1|0|17|1|16|4|0|0|passion|27|thug|24|got|17|baby|16|give|12|make|10|wet|7|bomb|7|way|7|get|6
All Eyez on Me|2Pac|1996|hip hop|352|864|1|1|0|1|0|14|0|1|0|0|0|picture|29|rollin|24|see|12|niggas|11|got|9|nigga|9|get|5|yeah|4|like|4|wan|4
All Eyez on Me|2Pac|1996|hip hop|316|939|0|0|0|0|0|26|1|3|2|0|0|got|46|go|40|nigga|17|time|13|get|9|check|8|shit|7|fuck|6|room|6|niggas|6
