album|track|artist|year|id|reasonFail
Music in a Doll's House|5|Family|1968|1308|too_few_lyrics
Music in a Doll's House|8|Family|1968|1308|too_few_lyrics
Music in a Doll's House|11|Family|1968|1308|too_few_lyrics
Stranger in the Alps|11|Phoebe Bridgers|2017|5962|too_few_lyrics
The Flying Club Cup|1|Beirut|2007|4260|too_few_lyrics
More Songs About Food and Revolutionary Art|0|Carl Craig|1997|3680|not_found
...If I Die, I Die|1|Virgin Prunes|1982|2921|too_few_lyrics
Paris sous les bombes|1|Suprême NTM|1995|4822|too_few_lyrics
Paris sous les bombes|9|Suprême NTM|1995|4822|too_few_lyrics
Let's Get Killed|2|David Holmes|1997|1618|too_few_lyrics
Let's Get Killed|6|David Holmes|1997|1618|too_few_lyrics
Let's Get Killed|7|David Holmes|1997|1618|too_few_lyrics
Let's Get Killed|9|David Holmes|1997|1618|too_few_lyrics
Let's Get Killed|12|David Holmes|1997|1618|too_few_lyrics
The Sermon!|0|Jimmy Smith|1959|1853|not_found
From Here to Eternity|4|Giorgio Moroder|1977|2683|too_few_lyrics
Koyaanisqatsi|2|Philip Glass|1983|2207|too_few_lyrics
Koyaanisqatsi|3|Philip Glass|1983|2207|too_few_lyrics
Koyaanisqatsi|4|Philip Glass|1983|2207|too_few_lyrics
Koyaanisqatsi|5|Philip Glass|1983|2207|too_few_lyrics
East of the River Nile|1|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|2|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|3|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|4|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|6|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|7|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|8|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|9|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|10|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|11|Augustus Pablo|1977|1164|too_few_lyrics
East of the River Nile|12|Augustus Pablo|1977|1164|too_few_lyrics
Wide Awake!|0|Parquet Courts|2018|6034|not_found
Absolutely Free|6|The Mothers of Invention|1967|1232|too_few_lyrics
Platform|2|Holly Herndon|2015|5558|too_few_lyrics
Platform|8|Holly Herndon|2015|5558|too_few_lyrics
Juju|1|Wayne Shorter|1965|1948|too_few_lyrics
Juju|2|Wayne Shorter|1965|1948|too_few_lyrics
Juju|3|Wayne Shorter|1965|1948|too_few_lyrics
Juju|4|Wayne Shorter|1965|1948|too_few_lyrics
Juju|5|Wayne Shorter|1965|1948|too_few_lyrics
Juju|6|Wayne Shorter|1965|1948|too_few_lyrics
Colour by Numbers|15|Culture Club|1983|577|too_few_lyrics
Absolution|1|Muse|2003|4027|too_few_lyrics
Absolution|7|Muse|2003|4027|too_few_lyrics
Horace Silver Quintet (Vol. 1 & 2)/Horace Silver and The Jazz Messengers|0|Horace Silver|1955|1802|not_found
Sabbath Bloody Sabbath|3|Black Sabbath|1973|1379|too_few_lyrics
West Side Story|0|The Original Soundtrack|1961|1920|not_found
Djam Leelii|0|Baaba Maal & Mansour Seck|1983|2813|not_found
Comicopera|5|Robert Wyatt|2007|4266|too_few_lyrics
Comicopera|8|Robert Wyatt|2007|4266|too_few_lyrics
Comicopera|14|Robert Wyatt|2007|4266|too_few_lyrics
Paradise/Big Fun|0|Inner City|1989|775|not_found
Cookin' with the Miles Davis Quintet|1|Miles Davis|1957|1816|too_few_lyrics
Cookin' with the Miles Davis Quintet|2|Miles Davis|1957|1816|too_few_lyrics
Cookin' with the Miles Davis Quintet|3|Miles Davis|1957|1816|too_few_lyrics
Cookin' with the Miles Davis Quintet|5|Miles Davis|1957|1816|too_few_lyrics
Cookin' with the Miles Davis Quintet|6|Miles Davis|1957|1816|too_few_lyrics
Cookin' with the Miles Davis Quintet|8|Miles Davis|1957|1816|too_few_lyrics
Steamin' with the Miles Davis Quintet|1|Miles Davis|1961|1896|too_few_lyrics
This Is Our Music|0|Ornette Coleman|1961|2310|not_found
Let Freedom Ring|1|Jackie McLean|1962|1918|too_few_lyrics
Let Freedom Ring|2|Jackie McLean|1962|1918|too_few_lyrics
Let Freedom Ring|3|Jackie McLean|1962|1918|too_few_lyrics
Let Freedom Ring|4|Jackie McLean|1962|1918|too_few_lyrics
A Quick One|6|The Who|1966|2106|too_few_lyrics
Babylon by Bus|0|Bob Marley and The Wailers|1978|1449|not_found
Wild Tchoupitoulas|1|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|2|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|3|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|4|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|5|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|6|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|7|Wild Tchoupitoulas|1976|383|too_few_lyrics
