album|track|artist|year|id|reasonFail
Play|6|Moby|1999|1069|too_few_lyrics
Play|10|Moby|1999|1069|too_few_lyrics
Play|12|Moby|1999|1069|too_few_lyrics
Play|14|Moby|1999|1069|too_few_lyrics
Play|15|Moby|1999|1069|too_few_lyrics
Play|16|Moby|1999|1069|too_few_lyrics
Play|18|Moby|1999|1069|too_few_lyrics
Out to Lunch!|1|Eric Dolphy|1964|1940|too_few_lyrics
Out to Lunch!|2|Eric Dolphy|1964|1940|too_few_lyrics
Out to Lunch!|3|Eric Dolphy|1964|1940|too_few_lyrics
Out to Lunch!|4|Eric Dolphy|1964|1940|too_few_lyrics
Out to Lunch!|5|Eric Dolphy|1964|1940|too_few_lyrics
With the Beatles/Meet the Beatles!|0|The Beatles|1963|2|not_found
My Life in the Bush of Ghosts|3|Brian Eno - David Byrne|1981|513|too_few_lyrics
My Life in the Bush of Ghosts|6|Brian Eno - David Byrne|1981|513|too_few_lyrics
My Life in the Bush of Ghosts|8|Brian Eno - David Byrne|1981|513|too_few_lyrics
My Life in the Bush of Ghosts|9|Brian Eno - David Byrne|1981|513|too_few_lyrics
My Life in the Bush of Ghosts|11|Brian Eno - David Byrne|1981|513|too_few_lyrics
Hot Rats|1|Frank Zappa|1969|167|too_few_lyrics
Hot Rats|3|Frank Zappa|1969|167|too_few_lyrics
Hot Rats|4|Frank Zappa|1969|167|too_few_lyrics
Hot Rats|6|Frank Zappa|1969|167|too_few_lyrics
Out of Time|5|R.E.M.|1991|815|too_few_lyrics
The Third Album/Sister Lovers|0|Big Star|1978|423|not_found
Mellow Gold|13|Beck|1994|910|too_few_lyrics
Sometimes I Sit and Think, and Sometimes I Just Sit|13|Courtney Barnett|2015|5546|too_few_lyrics
Power, Corruption & Lies|7|New Order|1983|579|too_few_lyrics
Deserter's Songs|4|Mercury Rev|1998|1022|too_few_lyrics
Deserter's Songs|7|Mercury Rev|1998|1022|too_few_lyrics
Deserter's Songs|10|Mercury Rev|1998|1022|too_few_lyrics
Classics in Jazz/Birth of the Cool|0|Miles Davis|1954|1788|not_found
Return to Cookie Mountain|12|TV on the Radio|2006|2142|too_few_lyrics
In a Silent Way|1|Miles Davis|1969|1989|too_few_lyrics
In a Silent Way|2|Miles Davis|1969|1989|too_few_lyrics
Late Registration|24|Kanye West|2005|4194|too_few_lyrics
Bookends|0|Simon and Garfunkel|1968|138|not_found
Since I Left You|12|The Avalanches|2000|1105|too_few_lyrics
Sketches of Spain|1|Miles Davis|1960|1877|too_few_lyrics
Sketches of Spain|2|Miles Davis|1960|1877|too_few_lyrics
Sketches of Spain|3|Miles Davis|1960|1877|too_few_lyrics
Sketches of Spain|4|Miles Davis|1960|1877|too_few_lyrics
Sketches of Spain|5|Miles Davis|1960|1877|too_few_lyrics
Selected Ambient Works 85-92|1|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|2|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|3|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|4|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|5|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|6|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|7|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|9|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|10|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|11|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|12|Aphex Twin|1992|868|too_few_lyrics
Selected Ambient Works 85-92|13|Aphex Twin|1992|868|too_few_lyrics
Saxophone Colossus|1|Sonny Rollins|1957|1800|too_few_lyrics
Saxophone Colossus|3|Sonny Rollins|1957|1800|too_few_lyrics
Saxophone Colossus|4|Sonny Rollins|1957|1800|too_few_lyrics
Saxophone Colossus|5|Sonny Rollins|1957|1800|too_few_lyrics
Green River|10|Creedence Clearwater Revival|1969|164|too_few_lyrics
Green River|11|Creedence Clearwater Revival|1969|164|too_few_lyrics
Live!|0|Bob Marley and The Wailers|1975|337|not_found
Live / Dead|6|Grateful Dead|1969|176|too_few_lyrics
Getz/Gilberto [featuring Antônio Carlos Jobim]|0|Stan Getz and João Gilberto|1964|1930|not_found
The Basement Tapes|0|Bob Dylan and The Band|1975|335|not_found
Violator|7|Depeche Mode|1990|791|too_few_lyrics
Violator|10|Depeche Mode|1990|791|too_few_lyrics
Mingus Ah Um|1|Charles Mingus|1959|1868|too_few_lyrics
Mingus Ah Um|2|Charles Mingus|1959|1868|too_few_lyrics
Mingus Ah Um|3|Charles Mingus|1959|1868|too_few_lyrics
Mingus Ah Um|4|Charles Mingus|1959|1868|too_few_lyrics
Mingus Ah Um|5|Charles Mingus|1959|1868|too_few_lyrics
Mingus Ah Um|6|Charles Mingus|1959|1868|too_few_lyrics
Mingus Ah Um|8|Charles Mingus|1959|1868|too_few_lyrics
Mingus Ah Um|9|Charles Mingus|1959|1868|too_few_lyrics
Mingus Ah Um|10|Charles Mingus|1959|1868|too_few_lyrics
