song|artist|year|genre|numUnique|totalWords|love_words|god_words|dance_words|cool_words|rock_words|swear_words|family_words|baby_words|money_words|funky_words|chill_words|cw1|cwc1|cw2|cwc2|cw3|cwc3|cw4|cwc4|cw5|cwc5|cw6|cwc6|cw7|cwc7|cw8|cwc8|cw9|cwc9|cw10|cwc10
Wild Tchoupitoulas|Wild Tchoupitoulas|1976|no genre|129|415|0|0|0|0|0|0|0|0|0|0|0|meet|26|boys|26|battlefront|26|gon|13|yeah|9|wild|9|tchoupitoulas|9|stomp|9|rump|9|injuns|5
Curtis/Live!|Curtis Mayfield|1971|r&b|72|153|2|0|0|0|0|0|0|0|0|0|0|makings|4|little|3|would|3|righteous|2|way|2|go|2|know|2|believe|2|told|2|second|2
Young Loud and Snotty|Dead Boys|1977|rock|73|196|0|0|0|0|0|1|0|0|0|0|0|sonic|11|reducer|11|got|9|loser|6|need|5|anyone|3|dull|3|machine|3|electronic|3|dream|3
Young Loud and Snotty|Dead Boys|1977|rock|81|238|1|0|0|0|0|0|0|0|0|0|0|girl|10|dead|10|boy|9|little|7|tonight|3|bout|3|floor|3|time|3|implore|3|know|3
Young Loud and Snotty|Dead Boys|1977|rock|38|176|6|0|0|0|0|2|0|0|0|0|0|know|12|love|6|need|5|none|5|wan|5|write|3|pretty|3|knife|3|toy|3|precious|3
Young Loud and Snotty|Dead Boys|1977|rock|84|209|0|0|0|0|0|0|0|0|0|0|0|anymore|15|hurt|7|go|4|push|4|away|4|warm|3|dawn|2|keep|2|got|2|awake|2
Young Loud and Snotty|Dead Boys|1977|rock|62|201|0|0|0|0|0|0|0|1|0|0|0|ch|14|nothin|11|get|5|yeah|4|sick|3|wan|3|find|2|somethin|2|outta|2|gon|2
Young Loud and Snotty|Dead Boys|1977|rock|98|198|1|0|1|0|0|0|0|0|0|0|0|meat|7|everyone|6|knows|6|caught|6|mouth|6|yeah|5|ah|2|new|2|town|2|said|2
Young Loud and Snotty|Dead Boys|1977|rock|73|132|0|0|0|0|0|0|0|0|0|0|0|little|5|girl|5|nothing|4|yeah|3|get|3|thought|2|girls|2|thank|2|called|1|hey|1
Young Loud and Snotty|Dead Boys|1977|rock|74|207|0|0|2|0|0|1|0|4|0|0|0|need|16|lunch|13|girl|12|wan|5|get|4|baby|4|pants|3|listen|3|know|3|really|2
