album|track|artist|year|id|reasonFail
Wild Tchoupitoulas|1|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|2|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|3|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|4|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|5|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|6|Wild Tchoupitoulas|1976|383|too_few_lyrics
Wild Tchoupitoulas|7|Wild Tchoupitoulas|1976|383|too_few_lyrics
Jesus Christ Superstar|0|The Original London Concept Recording|1970|1996|not_found
Ella Fitzgerald Sings the Duke Ellington Songbook|1|Ella Fitzgerald|1957|1821|too_few_lyrics
Ella Fitzgerald Sings the Duke Ellington Songbook|7|Ella Fitzgerald|1957|1821|too_few_lyrics
94 Diskont|1|Oval|1995|3579|too_few_lyrics
94 Diskont|2|Oval|1995|3579|too_few_lyrics
94 Diskont|3|Oval|1995|3579|too_few_lyrics
94 Diskont|4|Oval|1995|3579|too_few_lyrics
94 Diskont|5|Oval|1995|3579|too_few_lyrics
94 Diskont|6|Oval|1995|3579|too_few_lyrics
94 Diskont|7|Oval|1995|3579|too_few_lyrics
East-West|5|The Paul Butterfield Blues Band|1966|79|too_few_lyrics
East-West|9|The Paul Butterfield Blues Band|1966|79|too_few_lyrics
Images/Swingin' Easy|0|Sarah Vaughan|1954|1778|not_found
Bytes|1|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|2|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|3|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|4|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|5|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|6|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|7|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|8|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|9|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|10|Black Dog Productions|1993|3429|too_few_lyrics
Bytes|11|Black Dog Productions|1993|3429|too_few_lyrics
Planxty|3|Planxty|1973|2448|too_few_lyrics
Planxty|5|Planxty|1973|2448|too_few_lyrics
Planxty|8|Planxty|1973|2448|too_few_lyrics
Planxty|9|Planxty|1973|2448|too_few_lyrics
Planxty|11|Planxty|1973|2448|too_few_lyrics
Days|4|Real Estate|2011|5166|too_few_lyrics
Newbuild|1|808 State|1988|3225|too_few_lyrics
Newbuild|2|808 State|1988|3225|too_few_lyrics
Newbuild|3|808 State|1988|3225|too_few_lyrics
Newbuild|4|808 State|1988|3225|too_few_lyrics
Newbuild|5|808 State|1988|3225|too_few_lyrics
Newbuild|6|808 State|1988|3225|too_few_lyrics
Newbuild|7|808 State|1988|3225|too_few_lyrics
Brain Salad Surgery|2|Emerson, Lake & Palmer|1973|2473|too_few_lyrics
Thesis/1961|0|Jimmy Giuffre 3|1961|1903|not_found
Songhai|0|Ketama/Toumani Diabaté/Danny Thompson|1988|2897|not_found
Groovin' High|1|Dizzy Gillespie|1955|1784|too_few_lyrics
Groovin' High|2|Dizzy Gillespie|1955|1784|too_few_lyrics
Kiss Me Kate|0|The Original Broadway Cast|1949|1748|not_found
Il buono, il brutto, il cattivo / The Good, the Bad and the Ugly|0|Ennio Morricone|1966|3277|not_found
The Private Press|2|DJ Shadow|2002|1650|too_few_lyrics
The Private Press|5|DJ Shadow|2002|1650|too_few_lyrics
The Private Press|7|DJ Shadow|2002|1650|too_few_lyrics
The Private Press|8|DJ Shadow|2002|1650|too_few_lyrics
The Private Press|15|DJ Shadow|2002|1650|too_few_lyrics
At the Pershing: But Not for Me|0|Ahmad Jamal|1958|1846|not_found
The Jazz Workshop|0|George Russell|1956|2259|not_found
Until the Quiet Comes|1|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|3|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|4|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|5|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|6|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|7|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|8|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|12|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|13|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|17|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|18|Flying Lotus|2012|5215|too_few_lyrics
Until the Quiet Comes|19|Flying Lotus|2012|5215|too_few_lyrics
With Clifford Brown/The Eminent Jay Jay Johnson Volume 1|0|J.J. Johnson|1953|2181|not_found
World Without Tears|14|Lucinda Williams|2003|3918|too_few_lyrics
The Last Broadcast|5|Doves|2002|1630|too_few_lyrics
Freedom Suite|1|Sonny Rollins|1958|1850|too_few_lyrics
Freedom Suite|2|Sonny Rollins|1958|1850|too_few_lyrics
Freedom Suite|3|Sonny Rollins|1958|1850|too_few_lyrics
Freedom Suite|4|Sonny Rollins|1958|1850|too_few_lyrics
Freedom Suite|5|Sonny Rollins|1958|1850|too_few_lyrics
Takin' Off|1|Herbie Hancock|1962|1916|too_few_lyrics
Takin' Off|2|Herbie Hancock|1962|1916|too_few_lyrics
Takin' Off|3|Herbie Hancock|1962|1916|too_few_lyrics
Takin' Off|4|Herbie Hancock|1962|1916|too_few_lyrics
Takin' Off|5|Herbie Hancock|1962|1916|too_few_lyrics
Takin' Off|6|Herbie Hancock|1962|1916|too_few_lyrics
Extension of a Man|1|Donny Hathaway|1973|2492|too_few_lyrics
Extension of a Man|4|Donny Hathaway|1973|2492|too_few_lyrics
Ice Pickin'|3|Albert Collins|1978|1451|too_few_lyrics
Ice Pickin'|8|Albert Collins|1978|1451|too_few_lyrics
Play Blessures|4|Alain Bashung|1982|4668|too_few_lyrics
Play Blessures|13|Alain Bashung|1982|4668|too_few_lyrics
The Inflated Tear|0|Rahsaan Roland Kirk|1968|1985|not_found
Live at the Old Quarter, Houston, Texas|0|Townes Van Zandt|1977|1677|not_found
Moffou|7|Salif Keita|2002|4896|too_few_lyrics
Francis Albert Sinatra and Antonio Carlos Jobim|0|Frank Sinatra and Antonio Carlos Jobim|1967|1978|not_found
Further Definitions|1|Benny Carter|1962|1890|too_few_lyrics
Further Definitions|2|Benny Carter|1962|1890|too_few_lyrics
Further Definitions|3|Benny Carter|1962|1890|too_few_lyrics
Further Definitions|4|Benny Carter|1962|1890|too_few_lyrics
Further Definitions|5|Benny Carter|1962|1890|too_few_lyrics
Further Definitions|6|Benny Carter|1962|1890|too_few_lyrics
Further Definitions|7|Benny Carter|1962|1890|too_few_lyrics
Further Definitions|8|Benny Carter|1962|1890|too_few_lyrics
Ascenseur pour l'échafaud/Jazz Track|0|Miles Davis|1958|1839|not_found
The Mekons Rock'n'roll|0|Mekons|1989|769|not_found
Begin|1|The Millennium|1968|147|too_few_lyrics
Dinah Jams|0|Dinah Washington|1954|1786|not_found
Tarkus|5|Emerson, Lake & Palmer|1971|2389|too_few_lyrics
An Empty Bliss Beyond This World|1|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|2|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|3|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|4|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|5|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|6|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|8|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|9|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|10|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|11|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|12|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|13|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|14|The Caretaker|2011|5538|too_few_lyrics
An Empty Bliss Beyond This World|15|The Caretaker|2011|5538|too_few_lyrics
Rip, Rig and Panic|0|Rahsaan Roland Kirk|1965|1956|not_found
As Heard on Radio Soulwax Pt. 2|0|2 Many DJs|2002|3954|not_found
Watermark|1|Enya|1988|1531|too_few_lyrics
Watermark|6|Enya|1988|1531|too_few_lyrics
Watermark|9|Enya|1988|1531|too_few_lyrics
Watermark|12|Enya|1988|1531|too_few_lyrics
Watermark|15|Enya|1988|1531|too_few_lyrics
Live in Cook County Jail|0|B.B. King|1971|2383|not_found
Bird & Diz|0|Charlie Parker and Dizzy Gillespie|1952|1764|not_found
Minor Threat [EP 1981 / LP 1984]|0|Minor Threat|1981|3013|not_found
Eureka|4|Jim O'Rourke|1999|3759|too_few_lyrics
Eureka|5|Jim O'Rourke|1999|3759|too_few_lyrics
Eureka|9|Jim O'Rourke|1999|3759|too_few_lyrics
Blues de la frontera|2|Pata Negra|1988|4732|too_few_lyrics
Blues de la frontera|8|Pata Negra|1988|4732|too_few_lyrics
Search for the New Land|1|Lee Morgan|1966|1947|too_few_lyrics
Search for the New Land|2|Lee Morgan|1966|1947|too_few_lyrics
Search for the New Land|3|Lee Morgan|1966|1947|too_few_lyrics
Search for the New Land|4|Lee Morgan|1966|1947|too_few_lyrics
Search for the New Land|5|Lee Morgan|1966|1947|too_few_lyrics
Signing Off|3|UB40|1980|1175|too_few_lyrics
Signing Off|5|UB40|1980|1175|too_few_lyrics
Signing Off|7|UB40|1980|1175|too_few_lyrics
Signing Off|10|UB40|1980|1175|too_few_lyrics
Signing Off|13|UB40|1980|1175|too_few_lyrics
Nostalgia, Ultra|1|Frank Ocean|2011|5162|too_few_lyrics
Nostalgia, Ultra|8|Frank Ocean|2011|5162|too_few_lyrics
Nostalgia, Ultra|13|Frank Ocean|2011|5162|too_few_lyrics
Red Medicine|6|Fugazi|1995|3574|too_few_lyrics
Red Medicine|9|Fugazi|1995|3574|too_few_lyrics
Ballads|1|John Coltrane|1963|1907|too_few_lyrics
Ballads|2|John Coltrane|1963|1907|too_few_lyrics
Ballads|3|John Coltrane|1963|1907|too_few_lyrics
Ballads|4|John Coltrane|1963|1907|too_few_lyrics
Ballads|5|John Coltrane|1963|1907|too_few_lyrics
Ballads|6|John Coltrane|1963|1907|too_few_lyrics
Ballads|7|John Coltrane|1963|1907|too_few_lyrics
Ballads|8|John Coltrane|1963|1907|too_few_lyrics
