song|artist|year|genre|numUnique|totalWords|love_words|god_words|dance_words|cool_words|rock_words|swear_words|family_words|baby_words|money_words|funky_words|chill_words|cw1|cwc1|cw2|cwc2|cw3|cwc3|cw4|cwc4|cw5|cwc5|cw6|cwc6|cw7|cwc7|cw8|cwc8|cw9|cwc9|cw10|cwc10
Dusty in Memphis|Dusty Springfield|1969|folk|71|169|0|0|0|0|0|0|0|0|0|0|0|little|8|lovin|8|world|4|half|4|early|3|mornin|3|day|3|good|3|bit|3|yawnin|2
Dusty in Memphis|Dusty Springfield|1969|folk|106|285|9|0|0|0|0|0|0|7|0|0|0|love|9|much|7|baby|7|got|6|give|6|oh|6|life|5|never|4|last|4|whole|4
Dusty in Memphis|Dusty Springfield|1969|folk|105|346|0|0|0|0|0|0|12|0|0|0|0|preacher|12|could|11|ever|11|yes|6|reach|5|boy|4|teach|4|talkin|3|sweet|3|billy|2
Dusty in Memphis|Dusty Springfield|1969|folk|98|293|2|0|0|0|0|0|0|2|0|0|0|hear|12|anymore|8|talk|6|stand|5|cause|3|loud|3|walls|3|much|3|thin|3|oh|3
Dusty in Memphis|Dusty Springfield|1969|folk|73|196|2|0|0|0|0|0|0|11|0|0|0|baby|11|forget|9|please|8|hey|3|go|2|us|2|someday|2|paths|2|may|2|cross|2
Dusty in Memphis|Dusty Springfield|1969|folk|81|203|3|0|0|0|0|0|0|1|0|0|0|breakfast|6|bed|6|need|4|darling|3|kiss|3|three|3|say|3|love|3|nothing|3|said|3
Dusty in Memphis|Dusty Springfield|1969|folk|86|196|1|0|0|0|0|0|0|1|0|0|0|smile|8|world|4|forgiving|3|kiss|3|hurt|3|gone|3|make|3|life|3|worth|3|living|3
Dusty in Memphis|Dusty Springfield|1969|folk|133|290|0|0|0|0|0|0|0|0|0|0|0|like|15|wheel|4|never|3|circles|3|find|3|windmills|3|mind|3|circle|2|spiral|2|within|2
Dusty in Memphis|Dusty Springfield|1969|folk|69|179|4|0|0|0|0|0|0|0|0|0|0|land|9|make|9|believe|9|always|4|love|2|loving|2|hand|2|caresses|2|embrace|2|tenderly|2
Dusty in Memphis|Dusty Springfield|1969|folk|82|154|2|0|0|0|0|0|0|0|0|0|0|easy|6|way|4|must|3|love|2|fall|2|know|2|sky|1|ground|1|sad|1|eyes|1
Dusty in Memphis|Dusty Springfield|1969|folk|87|302|0|0|0|0|0|0|0|5|0|0|0|make|13|alone|8|know|5|baby|5|oh|4|hard|4|way|4|soul|4|tried|3|go|3
Dusty in Memphis|Dusty Springfield|1969|folk|66|204|7|0|0|0|0|0|0|2|0|0|0|yeah|7|help|7|love|7|somebody|6|losing|6|mind|6|shadow|4|lost|3|two|2|baby|2
Dusty in Memphis|Dusty Springfield|1969|folk|144|315|0|0|0|0|0|0|0|0|0|0|0|another|9|time|6|would|5|cotton|4|fine|4|place|4|willie|4|say|4|back|3|land|3
Transformer|Lou Reed|1972|rock|79|221|0|0|0|0|0|0|3|7|0|0|0|vicious|19|baby|6|kind|4|hit|3|oh|3|person|3|see|3|flower|2|every|2|hour|2
Transformer|Lou Reed|1972|rock|158|306|0|0|0|0|6|0|0|3|0|0|0|swoop|6|rock|6|oh|4|baby|3|could|2|world|2|things|2|know|2|lose|2|flying|2
Transformer|Lou Reed|1972|rock|59|169|0|0|0|0|0|0|0|0|0|0|0|perfect|8|day|8|oh|4|keep|4|hanging|4|going|4|reap|4|sow|4|later|2|home|2
Transformer|Lou Reed|1972|rock|137|310|0|0|0|0|0|0|0|1|0|0|0|hangin|12|round|12|woah|6|keep|4|glad|4|found|4|still|4|things|4|gave|4|years|4
Transformer|Lou Reed|1972|rock|105|421|0|0|0|0|0|0|0|6|0|0|0|doo|162|hey|10|walk|10|wild|10|side|10|said|8|babe|6|go|4|came|3|way|2
Transformer|Lou Reed|1972|rock|84|202|2|0|0|0|0|0|0|0|0|0|0|slick|8|little|8|girl|8|coming|6|yeah|3|eyes|2|eyeliner|2|ooh|2|nice|2|closets|2
Transformer|Lou Reed|1972|rock|54|243|20|0|0|0|0|0|0|0|0|0|0|satellite|32|ah|32|love|20|things|5|gone|3|like|3|watched|3|little|3|watch|3|tv|3
Transformer|Lou Reed|1972|rock|86|332|0|0|0|0|0|0|0|3|0|0|0|wake|12|shake|12|please|8|let|8|sleep|8|long|8|yeah|7|got|4|live|4|life|4
