song,artist,year,genre,numUnique,totalWords,love_words,god_words,dance_words,cool_words,rock_words,swear_words,cw1,cwc1,cw2,cwc2,cw3,cwc3,cw4,cwc4,cw5,cwc5
Smoke on the Water,Deep Purple,1972,rock,107,197,0,0,0,0,0,0,smoke,6,water,6,place,4,fire,3,sky,3
Toxic,Britney Spears,2003,pop,81,332,2,0,0,0,0,0,toxic,12,taste,8,know,7,lips,4,ride,4
Roadrunner,Jonathan Richman/The Modern Lovers,1975,rock,158,555,8,0,0,0,0,0,modern,17,feel,13,roadrunner,12,got,10,radio,9
Don't You Want Me,The Human League,1981,rock,113,362,1,0,0,0,0,0,baby,6,ohh,6,know,4,believe,4,much,4
Bad Girls,M.I.A.,2012,pop,118,485,0,0,0,0,0,2,fast,17,live,16,young,16,bad,16,girls,16
Changes,David Bowie,1971,rock,135,328,0,0,0,0,1,0,ch,36,changes,13,time,10,strange,7,turn,6
Don't Stop 'Til You Get Enough,Michael Jackson,1979,r&b,100,791,14,0,0,0,0,0,stop,73,keep,46,force,38,get,37,enough,36
Let It Be,The Beatles,1970,rock,67,270,0,0,0,0,0,0,let,41,words,7,wisdom,7,answer,5,yeah,5
Don't Be Cruel,Elvis Presley,1956,rock,81,226,5,0,0,0,0,0,heart,7,cruel,6,true,6,baby,5,love,5
Papa Was a Rolling Stone,The Temptations,1972,r&b,138,432,0,0,0,0,0,0,papa,15,momma,9,died,8,rolling,8,stone,8
Rolling in the Deep,Adele,2010,pop,137,589,4,0,0,0,0,1,gon,24,rolling,16,deep,16,wish,12,never,12
Living for the City,Stevie Wonder,1973,r&b,248,747,1,1,0,0,0,1,city,32,enough,25,living,21,oh,15,yeah,12
Gloria,Them,1964,rock,68,193,0,0,0,0,0,0,yeah,12,gloria,10,comes,5,make,5,feel,5
Try a Little Tenderness,Otis Redding,1966,r&b,101,298,5,0,0,0,0,0,yeah,20,got,13,try,11,little,6,tenderness,6
I Wanna Be Your Dog,The Stooges,1969,rock,47,117,0,0,0,0,0,0,wan,6,ready,3,well,2,close,2,uh,2
1979,Smashing Pumpkins,1995,rock,130,244,0,0,0,1,0,0,see,5,never,3,even,3,know,3,street,2
The Girl from Ipanema,Stan Getz,1964,jazz,122,312,5,0,0,1,0,0,see,7,ah,6,passes,6,goes,5,gung,4
You Send Me,Sam Cooke,1957,r&b,43,216,0,0,0,0,0,0,send,15,know,15,honest,9,whoa,6,oh,4
Wild Thing,The Troggs,1966,rock,30,103,3,0,0,0,0,0,wild,11,thing,10,make,6,heart,3,sing,3
Ziggy Stardust,David Bowie,1972,rock,114,186,1,1,0,0,0,2,ziggy,6,played,4,oh,3,yeah,3,guitar,3
In the Midnight Hour,Wilson Pickett,1965,r&b,72,213,5,0,0,0,0,0,midnight,10,hour,9,gon,8,wait,6,love,5
Wichita Lineman,Glen Campbell,1968,country,56,123,0,0,0,0,0,0,lineman,4,wichita,3,still,3,line,3,need,3
I Got You (I Feel Good),James Brown,1965,r&b,38,203,2,0,0,0,0,0,good,12,nice,12,feel,10,got,7,like,7
Idioteque,Radiohead,2000,rock,68,288,0,0,0,0,0,0,first,21,childre,11,children,6,alive,6,everything,6
Sunshine of Your Love,Cream,1967,rock,60,201,7,0,0,0,0,0,love,7,waiting,5,long,5,stay,4,lights,3
Search and Destroy,The Stooges,1973,rock,76,236,2,0,0,0,0,0,hey,11,forgotten,9,boy,9,got,8,honey,7
While My Guitar Gently Weeps,The Beatles,1968,rock,63,167,3,0,0,0,0,0,oh,14,yeah,9,look,6,guitar,6,gently,6
Ever Fallen in Love?,Buzzcocks,1978,rock,61,274,33,0,0,0,0,0,love,33,fallen,23,ever,16,someone,16,natural,2
The Times They Are A-Changin',Bob Dylan,1964,folk,128,260,0,0,0,0,0,0,times,5,changin,5,later,4,soon,3,like,2
With or Without You,U2,1987,rock,72,212,0,0,0,0,0,0,without,13,give,11,oh,10,away,6,wait,3
Mystery Train,Elvis Presley,1955,rock,39,119,0,0,0,0,0,0,train,15,round,10,coming,6,bend,6,well,4
Leader of the Pack,The Shangri-La's,1964,easy listening,149,350,0,0,0,0,0,0,gone,22,leader,8,pack,8,look,4,ooh,4
Let's Get It On,Marvin Gaye,1973,r&b,120,387,10,0,0,0,0,0,baby,17,let,17,get,15,love,9,oh,8
La Bamba,Ritchie Valens,1958,rock,29,134,0,0,0,0,0,0,bamba,18,arriba,10,bailar,6,poca,6,gracia,6
Dance Yrself Clean,LCD Soundsystem,2010,rock,183,468,0,0,4,0,0,0,ah,23,present,11,company,11,go,9,ahhhh,8
Relax,Frankie Goes to Hollywood,1983,rock,73,317,1,0,0,0,0,0,relax,18,ow,18,go,5,yeah,5,hit,5
Rebellion (Lies),Arcade Fire,2004,rock,80,312,0,0,0,0,0,0,lies,27,time,16,every,15,close,15,eyes,15
Don't Worry Baby,The Beach Boys,1964,rock,90,247,3,0,0,0,0,0,baby,23,worry,21,makes,4,everything,4,turn,4
Debaser,Pixies,1989,rock,39,142,0,0,0,0,0,0,debaser,25,chien,8,andalusia,8,know,5,got,2
Sweet Jane,The Velvet Underground,1970,rock,152,317,0,0,0,0,1,0,jane,17,sweet,15,oh,8,jack,3,know,3
Why Do Fools Fall in Love,Frankie Lymon and The Teenagers,1955,rock,54,155,10,0,0,0,0,0,fall,10,love,10,fools,4,tell,4,ooooo,3
Running Up That Hill,Kate Bush,1985,pop,93,405,1,5,0,0,0,0,yeah,16,runnin,15,could,10,hill,8,oh,7
Beat It,Michael Jackson,1982,r&b,96,487,0,0,0,0,0,0,beat,61,right,9,wan,8,wants,8,defeated,8
Wish You Were Here,Pink Floyd,1975,rock,93,147,0,0,0,1,0,1,yes,3,tell,3,wish,3,think,2,cold,2
Sabotage,Beastie Boys,1994,hip hop,108,267,0,1,0,0,0,0,sabotage,6,listen,5,stand,4,cause,3,mirage,3
Alone Again Or,Love,1967,pop,54,117,2,0,0,0,0,0,yeah,3,said,3,alone,3,tonight,3,dear,2
One More Time,Daft Punk,2000,hip hop,47,433,0,0,19,0,0,0,celebrate,36,free,28,time,27,gon,22,feeling,17
Green Light,Lorde,2017,pop,115,477,5,0,0,0,0,1,light,18,waiting,14,green,14,liar,9,honey,8
Over and Over,Hot Chip,2006,rock,66,377,0,0,0,0,0,0,laid,12,back,12,tell,12,really,9,repetition,6
All the Young Dudes,Mott the Hoople,1972,rock,153,423,2,0,0,0,0,0,dudes,19,news,17,carry,16,young,8,boogaloo,8
The Boys Are Back in Town,Thin Lizzy,1976,rock,136,401,0,0,1,1,0,0,boys,31,back,30,town,27,around,4,got,3
Lose Yourself,Eminem,2002,hip hop,316,856,1,1,0,0,0,2,better,16,go,15,shot,9,opportunity,8,moment,8
212,Azealia Banks,2011,pop,238,619,0,0,1,0,0,22,bitch,14,get,6,nigga,6,fuck,5,like,5
Firestarter,The Prodigy,1996,edm,37,163,0,0,0,0,0,1,hey,47,starter,18,fire,15,twisted,9,yeah,2
Kick Out the Jams,MC5,1969,rock,119,276,0,0,0,0,0,1,kick,10,alright,8,got,5,let,5,right,4
See Emily Play,Pink Floyd,1967,rock,65,131,0,0,0,0,0,0,emily,7,play,5,ah,3,ooh,3,day,3
Two Weeks,Grizzly Bear,2009,rock,38,176,0,0,0,0,0,0,oh,85,would,6,time,5,like,4,always,4
Girls and Boys,Blur,1994,rock,78,315,8,0,0,0,0,0,girls,28,boys,28,like,24,oh,22,love,8
Son-of-a Preacher Man,Dusty Springfield,1968,rock,109,350,0,0,0,0,0,0,preacher,12,could,11,ever,11,yes,6,reach,5
Cannonball,The Breeders,1993,rock,39,139,0,0,0,0,0,2,shade,9,cuckoo,7,cannonball,7,know,4,check,3
B. O. B. (Bombs Over Baghdad),OutKast,2000,hip hop,3334,12572,43,29,6,4,20,29,feat,764,lil,152,denzel,71,curry,71,powfu,56
Thinkin Bout You,Frank Ocean,2012,hip hop,113,321,1,0,0,1,0,0,thinkin,12,bout,12,think,9,ooh,8,know,7
Many Rivers to Cross,Jimmy Cliff,1969,no genre,87,153,0,0,0,0,0,0,many,4,rivers,4,cross,4,find,3,seem,2
Gold Digger,Kanye West,2005,hip hop,228,805,1,0,0,0,1,4,get,30,got,28,leave,20,girl,19,go,17
Israelites,Desmond Dekker,1968,rock,76,273,0,0,0,0,0,0,poor,32,israelites,16,hey,10,yeah,6,sir,5
Something,The Beatles,1969,rock,54,139,3,0,0,0,0,0,know,7,something,5,way,3,leave,3,believe,3
Ring of Fire,Johnny Cash,1963,country,39,201,2,0,0,0,0,0,ring,20,fire,19,burns,15,went,9,fell,6
Sexual Healing,Marvin Gaye,1982,r&b,129,448,2,0,0,0,0,0,darling,18,get,14,heal,14,sexual,13,healing,13
Cross Road Blues,Robert Johnson,1936,blues,820,936,2,1,1,0,0,2,1971,4,1989,3,1964,3,rolling,3,1965,3
Highway to Hell,AC/DC,1979,rock,80,210,0,0,0,0,1,19,highway,20,hell,20,gon,4,way,3,nothing,2
Born to Be Wild,Steppenwolf,1968,rock,72,192,3,0,0,0,0,0,born,8,wild,6,like,4,yeah,3,darlin,3
Theme from Shaft,Isaac Hayes,1971,r&b,65,96,0,0,0,0,0,1,shaft,6,right,2,black,1,private,1,dick,1
Brass in Pocket,Pretenders,1979,rock,73,238,0,0,0,0,0,1,gon,19,use,13,make,12,special,12,got,9
Shake Rattle and Roll,Big Joe Turner,1954,blues,91,264,0,0,0,0,0,0,shake,13,rattle,13,roll,13,get,5,soul,5
Hoochie Coochie Man,Muddy Waters,1954,blues,94,277,0,0,0,0,0,0,know,8,everybody,8,knows,8,gon,7,got,6
Jesus Walks,Kanye West,2004,hip hop,230,574,0,7,0,0,0,6,jesus,18,walk,14,god,7,way,7,tryna,5
Suzanne,Leonard Cohen,1967,folk,154,336,3,0,0,0,0,0,travel,6,suzanne,3,river,3,know,3,blind,3
Bye Bye Love,The Everly Brothers,1957,easy listening,58,185,13,0,0,0,0,0,bye,36,love,13,hello,6,goodbye,6,like,4
Windowlicker,Aphex Twin,1999,new age,13,58,0,0,0,0,0,0,window,36,windowlicker,11,aime,1,faire,1,croquettes,1
Heartbeats,The Knife,2002,edm,79,182,1,0,0,0,0,0,hands,6,night,5,call,5,lean,5,good,5
School's Out,Alice Cooper,1972,rock,74,163,0,0,0,0,0,1,school,10,got,4,summer,4,well,3,forever,3
Stop! In the Name of Love,The Supremes,1965,r&b,85,281,11,0,0,0,0,0,love,11,think,11,stop,10,break,9,heart,9
La Vie en rose,Edith Piaf,1945,easy listening,96,251,0,0,0,0,0,0,vie,6,mots,4,cœur,4,prend,3,amour,3
Fell in Love with a Girl,The White Stripes,2001,rock,94,293,9,0,0,0,0,0,ah,16,love,9,yeah,6,said,5,fell,4
Enter Sandman,Metallica,1991,metal,110,281,0,0,0,0,0,0,never,19,land,9,light,5,hand,5,yeah,5
Je t'aime moi non plus,Serge Gainsbourg,1969,rock,41,224,0,0,0,0,0,0,viens,13,aime,12,reins,11,vais,9,oh,6
Where Is My Mind?,Pixies,1988,rock,66,190,0,0,0,0,1,0,mind,9,head,5,swimmin,4,feet,3,air,3
96 Tears,Question Mark and the Mysterians,1966,no genre,78,227,0,0,0,0,0,0,cry,21,96,8,gon,7,tears,7,heart,4
Stan,Eminem,2000,hip hop,386,1448,1,0,0,0,0,22,got,14,shit,14,like,12,see,11,bad,10
Radio Free Europe,R.E.M.,1981,rock,72,189,0,0,0,0,0,0,radio,9,callin,9,transit,8,put,6,free,6
Bring the Noise,Public Enemy,1987,hip hop,297,732,0,0,0,0,5,2,like,8,get,8,cause,7,got,7,know,6
Ace of Spades,Motörhead,1980,metal,93,186,0,0,1,0,0,0,ace,6,spades,5,like,3,know,3,see,3
Where Did Our Love Go,The Supremes,1964,r&b,61,177,5,0,0,0,0,0,baby,16,ooh,10,leave,7,burning,5,love,5
Teen Age Riot,Sonic Youth,1988,rock,182,423,0,0,0,0,0,0,spirit,12,desire,12,fall,5,everybody,4,get,3
(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,1967,r&b,84,289,23,0,0,0,0,0,lifting,36,higher,26,love,22,keeps,14,keep,10
Wake Up,Arcade Fire,2004,rock,96,155,0,1,0,0,0,0,see,5,lightning,3,bolts,3,glowing,3,going,3
Gimme Some Lovin',Spencer Davis Group,1966,rock,92,253,0,0,0,0,0,0,gim,15,lovin,15,made,7,glad,6,hey,5
Gloria,Patti Smith,1975,rock,191,379,1,0,0,0,0,1,go,4,cause,4,thing,3,paper,3,well,3
Back in Black,AC/DC,1980,rock,102,311,1,0,0,0,0,0,back,42,yes,12,well,12,black,9,yeah,7
Tumbling Dice,The Rolling Stones,1972,rock,102,323,0,0,0,0,0,0,got,24,roll,24,oh,12,baby,10,tumbling,7
Summer in the City,The Lovin' Spoonful,1966,rock,90,318,0,0,3,2,0,0,city,12,summer,8,night,6,pity,5,like,5
Blind,Hercules and Love Affair,2008,pop,69,252,0,0,0,0,0,0,feel,17,present,6,stars,5,could,5,get,5
Killing in the Name,Rage Against the Machine,1992,rock,52,627,0,0,0,0,0,17,told,24,fuck,16,tell,16,work,8,forces,8
Only the Lonely (Know the Way I Feel),Roy Orbison,1960,rock,62,190,0,0,0,0,0,0,dum,27,yay,12,lonely,12,dumdy,9,doo,9
Just Like Heaven,The Cure,1987,rock,104,207,3,0,1,0,0,0,show,4,like,4,said,3,away,3,alone,3
Sweet Dreams (Are Made of This),Eurythmics,1983,rock,45,307,0,0,0,0,0,0,sweet,8,dreams,8,made,8,disagree,8,traveled,8
Young Folks,Peter Bjorn and John,2006,rock,96,326,0,0,0,0,0,0,talking,18,bout,12,style,9,young,6,folks,6
Seventeen,Sharon Van Etten,2019,rock,95,241,0,0,0,0,0,0,used,7,seventeen,7,know,4,like,4,think,3
Sweet Home Alabama,Lynyrd Skynyrd,1974,rock,126,268,1,0,0,0,0,0,home,14,alabama,13,ah,12,sweet,9,blue,5
I Can't Explain,The Who,1965,rock,71,224,2,0,0,0,0,0,explain,18,yeah,7,said,5,feeling,4,feel,3
Groove Is in the Heart,Deee-Lite,1990,pop,172,413,1,0,3,0,0,0,groove,17,heart,14,ask,7,another,7,baby,5
Float On,Modest Mouse,2004,rock,105,330,0,0,0,0,0,0,float,23,alright,11,okay,9,win,8,lose,8
White Christmas,Bing Crosby,1942,easy listening,40,116,0,0,0,0,0,2,white,6,christmas,6,dreaming,4,may,4,like,3
You Can't Always Get What You Want,The Rolling Stones,1969,rock,127,492,0,0,0,0,0,3,get,27,always,18,yeah,12,find,8,might,8
Move On Up,Curtis Mayfield,1970,r&b,89,176,0,0,0,0,0,1,move,10,might,3,cry,2,folks,2,understand,2
Cellophane,FKA twigs,2019,pop,57,257,3,0,0,0,0,0,us,9,wan,8,see,8,feel,3,share,3
I Can't Stand the Rain,Ann Peebles,1973,r&b,68,149,0,0,0,0,0,0,window,7,stand,6,rain,6,sweet,5,memories,4
Free Bird,Lynyrd Skynyrd,1973,rock,79,200,1,0,0,0,0,0,change,11,oh,10,bird,9,lord,5,cause,4
Bodak Yellow,Cardi B,2017,pop,224,751,0,0,7,0,0,20,get,10,bitch,9,make,9,fuck,8,got,8
Lust for Life,Iggy Pop,1977,rock,91,392,6,0,0,0,0,0,lust,32,life,32,cause,9,got,8,well,7
Heart of Gold,Neil Young,1972,rock,44,148,0,0,0,0,0,0,heart,9,gold,8,searchin,7,keep,5,old,5
HUMBLE.,Kendrick Lamar,2017,hip hop,200,618,0,0,0,1,0,38,hol,60,bitch,32,lil,25,humble,16,ayy,13
Ashes to Ashes,David Bowie,1980,rock,130,287,2,0,0,0,0,0,major,6,tom,6,done,6,things,6,happy,4
King Kunta ,Kendrick Lamar,2015,hip hop,233,745,0,0,0,0,0,14,funk,26,got,13,kunta,12,king,11,walkin,10
I Say a Little Prayer,Aretha Franklin,1968,r&b,91,444,14,0,0,0,0,0,prayer,22,ever,17,together,16,forever,15,answer,15
I Can See for Miles,The Who,1967,rock,100,354,0,0,0,0,0,0,miles,48,see,18,know,5,oh,4,yeah,4
I Get Around,The Beach Boys,1964,rock,88,362,0,0,0,3,0,0,get,55,around,55,round,52,town,8,ah,8
More Than a Feeling,Boston,1976,rock,81,229,0,0,0,0,0,0,feeling,12,away,7,see,5,marianne,5,song,4
I Am the Walrus,The Beatles,1967,rock,188,416,0,0,0,0,0,0,joob,23,goo,18,g,8,see,6,crying,6
Under the Bridge,Red Hot Chili Peppers,1991,rock,109,302,8,0,0,0,0,0,yeah,17,like,7,love,7,feel,6,ever,4
Around the World,Daft Punk,1997,hip hop,7,435,0,0,0,0,0,0,around,144,world,143,worldyou,1,might,1,like,1
Lola,The Kinks,1970,rock,130,418,0,0,1,0,0,0,lola,38,well,9,like,4,world,4,said,3
Georgia on My Mind,Ray Charles,1960,blues,49,162,0,0,0,0,0,0,georgia,15,mind,7,song,6,sweet,5,old,4
Do You Realize??,The Flaming Lips,2002,rock,71,172,0,0,0,0,0,0,realize,12,know,4,oh,3,beautiful,2,everyone,2
Hey Joe,Jimi Hendrix,1966,rock,80,263,0,0,0,1,0,0,going,12,hey,9,joe,9,shot,7,around,6
It's the End of the World As We Know It (And I Feel Fine),R.E.M.,1987,rock,185,654,0,0,0,0,0,0,time,32,world,23,know,21,alone,16,fine,9
Dazed and Confused,Led Zeppelin,1969,rock,111,271,2,0,0,0,0,0,ah,31,ahh,19,oh,17,baby,7,know,4
1901,Phoenix,2009,rock,91,264,0,0,0,0,0,0,hey,26,fold,20,think,5,going,5,like,3
(You Gotta) Fight for Your Right (To Party!),Beastie Boys,1986,hip hop,102,131,0,0,0,0,0,0,feat,4,p,3,party,2,dogg,2,9,1
Archangel,Burial,2007,edm,19,338,7,0,0,0,0,0,alone,42,tell,19,belong,19,trust,8,holding,7
Ticket to Ride,The Beatles,1965,rock,63,309,0,0,0,0,0,0,got,12,ticket,12,ride,12,think,8,ought,8
Sultans of Swing,Dire Straits,1978,rock,159,286,0,0,0,0,1,1,sultans,6,south,3,time,3,play,3,band,2
Fools Gold,The Stone Roses,1989,rock,78,262,0,0,0,0,0,0,gold,11,standing,6,alone,6,watching,6,sinking,6
Crying,Roy Orbison,1961,rock,82,152,2,0,0,0,0,0,crying,15,hand,2,alone,2,true,2,love,2
West End Girls,Pet Shop Boys,1985,rock,105,376,0,0,0,0,0,1,west,34,girls,23,boys,12,town,10,east,10
Rocket 88,Jackie Brenston,1951,rock,91,121,0,0,0,0,0,0,rocket,3,baby,3,heard,2,88,2,everybody,2
Chicago,Sufjan Stevens,2005,pop,58,332,2,0,0,0,0,0,things,36,go,18,know,10,mind,10,made,10
Manish Boy,Muddy Waters,1955,blues,120,342,2,0,0,0,0,0,yeah,11,child,10,well,8,hurt,5,boy,4
Roll Over Beethoven,Chuck Berry,1956,rock,124,248,1,0,1,0,3,0,roll,11,beethoven,10,got,5,rhythm,5,blues,4
Instant Karma (We All Shine On),John Lennon,1970,rock,88,300,1,0,0,0,0,0,shine,11,like,8,well,8,stars,7,sun,7
Minnie the Moocher,Cab Calloway,1931,easy listening,104,260,1,0,0,0,0,0,hi,28,hee,12,around,3,gave,3,booriki,3
Work,Rihanna feat. Drake,2016,pop,198,244,2,0,0,0,0,1,feat,12,future,3,something,3,run,3,lonely,2
You Oughta Know,Alanis Morissette,1995,pop,131,427,2,0,0,0,0,1,know,9,gave,6,died,4,remind,4,mess,4
Pink Moon,Nick Drake,1972,folk,29,91,0,0,0,0,0,0,pink,18,moon,9,saw,4,written,2,say,2
American Pie,Don McLean,1971,folk,331,964,2,1,3,0,1,3,day,19,bye,14,levee,14,singin,13,music,12
Fake Plastic Trees,Radiohead,1995,rock,77,172,1,0,0,0,0,0,wears,12,plastic,3,fake,3,rubber,3,like,3
I've Been Loving You Too Long (To Stop Now),Otis Redding,1965,r&b,1630,3815,41,2,7,0,8,5,love,34,beatles,23,bob,16,rolling,14,stones,14
No One Knows,Queens of the Stone Age,2002,rock,120,223,0,0,0,0,1,0,aquí,5,knows,4,realize,4,indeed,4,fool,4
Monkey Gone to Heaven,Pixies,1989,rock,72,235,0,5,0,0,1,0,monkey,17,gone,17,heaven,16,god,5,devil,5
Somebody to Love,Jefferson Airplane,1967,rock,63,193,21,0,0,0,0,0,love,22,somebody,16,need,4,better,4,find,4
Welcome to the Jungle,Guns N' Roses,1987,rock,115,369,0,1,0,0,0,0,jungle,19,welcome,10,knees,8,watch,7,bring,6
Loaded,Primal Scream,1990,rock,46,256,16,0,0,0,0,0,wan,29,lose,16,love,16,free,5,gon,5
Going Underground,The Jam,1980,rock,137,414,0,0,0,0,0,4,going,20,underground,20,let,12,boys,8,well,6
Long Tall Sally,Little Richard,1956,rock,61,188,0,0,0,0,0,0,baby,15,fun,11,tonight,9,uncle,5,john,5
I Put a Spell on You,Screamin' Jay Hawkins,1956,blues,41,98,3,0,0,0,0,0,put,3,spell,3,yeah,3,love,3,stop,2
Boogie Chillen,John Lee Hooker,1948,blues,82,150,0,0,0,0,0,0,mama,4,night,4,yes,4,well,3,allow,3
Come Together,The Beatles,1969,rock,88,235,0,0,0,0,0,0,shoot,19,together,13,got,12,yeah,9,right,4
Pump Up the Volume,M/A/R/R/S,1987,pop,56,230,0,0,3,0,0,1,pump,16,volume,13,go,5,oh,5,put,5
Ohio,Crosby Stills Nash (& Young),1970,rock,58,202,0,0,0,0,0,0,dead,14,four,13,ohio,11,soldiers,4,tin,2
1999,Prince,1982,r&b,165,512,0,0,2,0,0,0,party,29,say,14,1999,14,gon,12,zero,10
Glory Box,Portishead,1994,pop,87,231,4,0,0,0,0,0,give,10,reason,7,woman,7,wan,5,playing,4
Mack the Knife,Bobby Darin,1959,easy listening,132,231,1,0,0,0,0,0,babe,6,ol,5,mackie,4,macheath,3,back,3
One Nation Under a Groove,Funkadelic/Parliament,1978,r&b,215,354,0,0,1,0,0,2,clinton,4,oh,4,groove,4,drum,3,like,3
Since U Been Gone,Kelly Clarkson,2004,pop,84,298,1,0,0,1,0,0,yeah,14,since,12,gone,12,get,9,thanks,6
Jolene,Dolly Parton,1973,country,93,218,1,0,0,0,0,0,jolene,30,please,6,like,3,could,3,easily,2
Blister in the Sun,Violent Femmes,1983,rock,53,240,0,0,0,0,0,0,let,6,go,6,might,5,know,5,walking,4
Moondance,Van Morrison,1970,folk,112,377,8,0,7,0,0,0,night,8,make,8,love,8,moondance,7,know,6
Jump,Van Halen,1983,rock,64,193,0,0,0,0,0,0,jump,23,might,6,go,6,ahead,6,well,5
Blank Generation,Richard Hell & The Voidoids,1977,rock,108,294,0,1,0,0,0,0,ooh,25,belong,8,generation,8,leave,8,time,8
Wild Horses,The Rolling Stones,1971,rock,84,166,0,0,0,0,0,0,wild,12,horses,8,drag,6,away,6,know,3
Norwegian Wood (This Bird Has Flown),The Beatles,1965,rock,74,124,0,0,0,0,0,0,told,3,good,2,norwegian,2,wood,2,time,2
Girls Just Want to Have Fun,Cyndi Lauper,1983,rock,76,345,0,0,0,0,0,0,wan,46,girls,32,fun,22,oh,14,working,8
I'm a Believer,The Monkees,1966,rock,70,226,7,0,0,0,0,0,believer,9,love,7,yeah,5,saw,4,trace,4
I Will Survive,Gloria Gaynor,1978,r&b,153,688,11,0,0,0,0,0,survive,17,oh,11,love,11,got,10,go,8
Another Brick in the Wall Part 2,Pink Floyd,1979,rock,57,203,0,0,0,0,0,0,need,4,leave,4,kids,4,alone,4,another,4
Roxanne,The Police,1978,rock,70,290,1,0,0,0,0,0,roxanne,26,put,26,red,25,light,25,tell,2
A Love Supreme Part 1: Acknowledgement,John Coltrane,1965,jazz,5314,50969,10,0,7,0,0,131,court,408,abortion,337,state,307,woman,286,roe,280
The Killing Moon,Echo and the Bunnymen,1984,rock,62,226,0,0,0,0,0,0,give,8,fate,6,thick,6,thin,6,wait,6
Under Pressure,Queen,1981,rock,130,333,19,0,2,0,0,0,love,19,give,11,people,10,pressure,9,streets,7
In the Still of the Nite,The Five Satins,1956,r&b,1630,3815,41,2,7,0,8,5,love,34,beatles,23,bob,16,rolling,14,stones,14
Pride (In the Name of Love),U2,1984,rock,59,189,19,0,0,0,0,0,love,19,like,5,nothing,2,nobody,2,go,1
My Name Is,Eminem,1999,hip hop,320,831,0,1,0,0,0,9,chka,32,shady,18,hi,17,slim,17,huh,12
There Goes My Baby,The Drifters,1959,rock,66,223,3,0,0,0,0,0,doo,37,goes,12,baby,11,doot,7,whoa,6
Wolf Like Me,TV on the Radio,2006,rock,159,406,0,4,0,0,0,0,oh,17,howling,9,forever,8,got,6,like,5
Just Like Honey,The Jesus and Mary Chain,1985,rock,47,133,0,0,0,0,0,0,like,18,honey,17,good,4,beehive,2,hardest,2
