album|track|artist|year|id|reasonFail
Psyence Fiction|8|UNKLE|1998|1030|too_few_lyrics
American Water|3|Silver Jews|1998|3740|too_few_lyrics
Lovedrive|4|Scorpions|1979|4621|too_few_lyrics
Doris|9|Earl Sweatshirt|2013|5301|too_few_lyrics
Portrait in Jazz|1|Bill Evans|1960|2411|too_few_lyrics
Portrait in Jazz|2|Bill Evans|1960|2411|too_few_lyrics
Portrait in Jazz|3|Bill Evans|1960|2411|too_few_lyrics
Portrait in Jazz|4|Bill Evans|1960|2411|too_few_lyrics
Portrait in Jazz|5|Bill Evans|1960|2411|too_few_lyrics
Portrait in Jazz|6|Bill Evans|1960|2411|too_few_lyrics
Portrait in Jazz|7|Bill Evans|1960|2411|too_few_lyrics
Portrait in Jazz|8|Bill Evans|1960|2411|too_few_lyrics
Portrait in Jazz|9|Bill Evans|1960|2411|too_few_lyrics
Ask the Ages|1|Sonny Sharrock|1991|2929|too_few_lyrics
Ask the Ages|2|Sonny Sharrock|1991|2929|too_few_lyrics
Ask the Ages|3|Sonny Sharrock|1991|2929|too_few_lyrics
Ask the Ages|4|Sonny Sharrock|1991|2929|too_few_lyrics
Ask the Ages|5|Sonny Sharrock|1991|2929|too_few_lyrics
Ask the Ages|6|Sonny Sharrock|1991|2929|too_few_lyrics
Four for Trane|1|Archie Shepp|1964|2355|too_few_lyrics
Four for Trane|2|Archie Shepp|1964|2355|too_few_lyrics
Four for Trane|3|Archie Shepp|1964|2355|too_few_lyrics
Four for Trane|4|Archie Shepp|1964|2355|too_few_lyrics
Four for Trane|5|Archie Shepp|1964|2355|too_few_lyrics
Apostrophe (')|7|Frank Zappa|1974|1393|too_few_lyrics
Anita Sings the Most|1|Anita O'Day|1957|2262|too_few_lyrics
Anita Sings the Most|2|Anita O'Day|1957|2262|too_few_lyrics
Anita Sings the Most|7|Anita O'Day|1957|2262|too_few_lyrics
Anita Sings the Most|10|Anita O'Day|1957|2262|too_few_lyrics
Ezz-Thetics|0|George Russell|1961|2314|not_found
Mwandishi|1|Herbie Hancock|1971|1999|too_few_lyrics
Mwandishi|2|Herbie Hancock|1971|1999|too_few_lyrics
Mwandishi|3|Herbie Hancock|1971|1999|too_few_lyrics
I Am Not Afraid of You and I Will Beat Your Ass|9|Yo La Tengo|2006|3075|too_few_lyrics
Duke Ellington and John Coltrane|0|Duke Ellington and John Coltrane|1963|1910|not_found
Anatomy of a Murder|1|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|2|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|3|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|4|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|5|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|6|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|7|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|8|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|9|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|10|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|11|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|12|Duke Ellington|1959|2409|too_few_lyrics
Anatomy of a Murder|13|Duke Ellington|1959|2409|too_few_lyrics
Alice|15|Tom Waits|2002|1646|too_few_lyrics
Beaucoup Fish|8|Underworld|1999|1078|too_few_lyrics
Devotional Songs/Devotional & Love Songs|0|Nusrat Fateh Ali Khan|1992|3498|not_found
Native Dancer|0|Wayne Shorter feat. Milton Nascimento|1975|2536|not_found
Nice Guys|0|Art Ensemble of Chicago|1979|4611|not_found
The Chemistry of Common Life|3|Fucked Up|2008|4378|too_few_lyrics
Breezin'|1|George Benson|1976|2210|too_few_lyrics
Breezin'|3|George Benson|1976|2210|too_few_lyrics
Breezin'|4|George Benson|1976|2210|too_few_lyrics
Breezin'|5|George Benson|1976|2210|too_few_lyrics
Breezin'|7|George Benson|1976|2210|too_few_lyrics
No Roses|0|Shirley Collins and The Albion Country Band|1971|2377|not_found
Hamilton|1|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|2|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|3|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|4|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|5|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|6|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|7|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|8|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|9|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|10|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|11|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|12|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|13|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|14|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|15|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|16|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|17|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|18|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|19|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|20|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|21|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|22|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|23|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|24|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|25|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|26|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|27|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|28|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|29|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|30|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|31|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|32|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|33|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|34|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|35|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|36|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|37|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|38|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|39|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|40|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|41|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|42|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|43|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|44|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|45|The Original Broadway Cast|2015|5672|too_few_lyrics
Hamilton|46|The Original Broadway Cast|2015|5672|too_few_lyrics
Total Destruction to Your Mind|3|Swamp Dogg|1970|2335|too_few_lyrics
Total Destruction to Your Mind|11|Swamp Dogg|1970|2335|too_few_lyrics
Total Destruction to Your Mind|12|Swamp Dogg|1970|2335|too_few_lyrics
Shpritsz|9|Herman Brood & His Wild Romance|1978|4603|too_few_lyrics
Shpritsz|10|Herman Brood & His Wild Romance|1978|4603|too_few_lyrics
Shpritsz|11|Herman Brood & His Wild Romance|1978|4603|too_few_lyrics
Shpritsz|12|Herman Brood & His Wild Romance|1978|4603|too_few_lyrics
Shpritsz|13|Herman Brood & His Wild Romance|1978|4603|too_few_lyrics
Shpritsz|15|Herman Brood & His Wild Romance|1978|4603|too_few_lyrics
Third Ear Band|1|Third Ear Band|1970|2632|too_few_lyrics
Bright Size Life|1|Pat Metheny|1976|2019|too_few_lyrics
Bright Size Life|2|Pat Metheny|1976|2019|too_few_lyrics
Bright Size Life|3|Pat Metheny|1976|2019|too_few_lyrics
Bright Size Life|4|Pat Metheny|1976|2019|too_few_lyrics
Bright Size Life|5|Pat Metheny|1976|2019|too_few_lyrics
Bright Size Life|6|Pat Metheny|1976|2019|too_few_lyrics
Bright Size Life|7|Pat Metheny|1976|2019|too_few_lyrics
Bright Size Life|8|Pat Metheny|1976|2019|too_few_lyrics
Stand Up|3|Jethro Tull|1969|1118|too_few_lyrics
Crack-Up|12|Fleet Foxes|2017|5894|too_few_lyrics
The Ascension|1|Glenn Branca|1981|2878|too_few_lyrics
The Ascension|2|Glenn Branca|1981|2878|too_few_lyrics
The Ascension|3|Glenn Branca|1981|2878|too_few_lyrics
The Ascension|4|Glenn Branca|1981|2878|too_few_lyrics
The Ascension|5|Glenn Branca|1981|2878|too_few_lyrics
Metals|13|Feist|2011|5141|too_few_lyrics
Belonging|0|Keith Jarrett and Jan Garbarek|1974|2534|not_found
Mental Floss for the Globe|6|Urban Dance Squad|1989|3262|too_few_lyrics
Mental Floss for the Globe|7|Urban Dance Squad|1989|3262|too_few_lyrics
Mental Floss for the Globe|9|Urban Dance Squad|1989|3262|too_few_lyrics
Mental Floss for the Globe|10|Urban Dance Squad|1989|3262|too_few_lyrics
Mental Floss for the Globe|11|Urban Dance Squad|1989|3262|too_few_lyrics
Mental Floss for the Globe|12|Urban Dance Squad|1989|3262|too_few_lyrics
Fantastic Damage|14|El-P|2002|3952|too_few_lyrics
Fantastic Damage|17|El-P|2002|3952|too_few_lyrics
Forward Onto Zion/Satta Masa Gana|0|The Abyssinians|1976|2612|not_found
Finally We Are No One|1|Múm|2002|3906|too_few_lyrics
Finally We Are No One|4|Múm|2002|3906|too_few_lyrics
Finally We Are No One|5|Múm|2002|3906|too_few_lyrics
Finally We Are No One|6|Múm|2002|3906|too_few_lyrics
Finally We Are No One|8|Múm|2002|3906|too_few_lyrics
Finally We Are No One|9|Múm|2002|3906|too_few_lyrics
Finally We Are No One|10|Múm|2002|3906|too_few_lyrics
Science Fiction|2|Ornette Coleman|1972|2655|too_few_lyrics
Science Fiction|3|Ornette Coleman|1972|2655|too_few_lyrics
Science Fiction|5|Ornette Coleman|1972|2655|too_few_lyrics
Science Fiction|7|Ornette Coleman|1972|2655|too_few_lyrics
Science Fiction|8|Ornette Coleman|1972|2655|too_few_lyrics
Nancy Wilson/Cannonball Adderley|2|Nancy Wilson/Cannonball Adderley|1962|1923|too_few_lyrics
Nancy Wilson/Cannonball Adderley|4|Nancy Wilson/Cannonball Adderley|1962|1923|too_few_lyrics
Nancy Wilson/Cannonball Adderley|6|Nancy Wilson/Cannonball Adderley|1962|1923|too_few_lyrics
Nancy Wilson/Cannonball Adderley|8|Nancy Wilson/Cannonball Adderley|1962|1923|too_few_lyrics
Nancy Wilson/Cannonball Adderley|10|Nancy Wilson/Cannonball Adderley|1962|1923|too_few_lyrics
The Tony Bennett/Bill Evans Album|0|Tony Bennett and Bill Evans|1975|2017|not_found
Spike|8|Elvis Costello|1989|763|too_few_lyrics
I Sing the Body Electric|0|Weather Report|1972|2371|not_found
Through Silver in Blood|2|Neurosis|1996|2997|too_few_lyrics
Parallel Universe|0|4 Hero|1994|3549|not_found
cLOUDDEAD|9|cLOUDDEAD|2001|4888|too_few_lyrics
cLOUDDEAD|10|cLOUDDEAD|2001|4888|too_few_lyrics
Gossip|0|Paul Kelly [Australia]|1986|2849|not_found
Diwan|3|Rachid Taha|1998|3026|too_few_lyrics
Diwan|4|Rachid Taha|1998|3026|too_few_lyrics
Diwan|5|Rachid Taha|1998|3026|too_few_lyrics
Diwan|6|Rachid Taha|1998|3026|too_few_lyrics
Diwan|9|Rachid Taha|1998|3026|too_few_lyrics
Diwan|10|Rachid Taha|1998|3026|too_few_lyrics
Diwan|11|Rachid Taha|1998|3026|too_few_lyrics
Light Upon the Lake|8|Whitney|2016|5835|too_few_lyrics
Light Upon the Lake|12|Whitney|2016|5835|too_few_lyrics
Light Upon the Lake|13|Whitney|2016|5835|too_few_lyrics
Light Upon the Lake|14|Whitney|2016|5835|too_few_lyrics
They Threw Us All in a Trench and Stuck a Monument On Top|8|Liars|2001|3905|too_few_lyrics
Atlas|4|Real Estate|2014|5414|too_few_lyrics
Chaos A.D.|15|Sepultura|1993|3491|too_few_lyrics
Sing a Song of Basie|0|Lambert, Hendricks and Ross|1958|1824|not_found
Silent Tongues|0|Cecil Taylor|1975|2015|not_found
Song X|0|Pat Metheny & Ornette Coleman|1986|3132|not_found
Vision Creation Newsun|2|Boredoms|1999|4872|too_few_lyrics
Vision Creation Newsun|3|Boredoms|1999|4872|too_few_lyrics
Vision Creation Newsun|4|Boredoms|1999|4872|too_few_lyrics
Vision Creation Newsun|5|Boredoms|1999|4872|too_few_lyrics
Vision Creation Newsun|6|Boredoms|1999|4872|too_few_lyrics
Vision Creation Newsun|7|Boredoms|1999|4872|too_few_lyrics
Vision Creation Newsun|8|Boredoms|1999|4872|too_few_lyrics
Vision Creation Newsun|9|Boredoms|1999|4872|too_few_lyrics
The Supremes Sing Holland-Dozier-Holland/The Supremes Sing Motown|0|The Supremes|1967|1298|not_found
Logical Progression|0|LTJ Bukem|1996|2996|not_found
Haha Sound|8|Broadcast|2003|3917|too_few_lyrics
Haha Sound|10|Broadcast|2003|3917|too_few_lyrics
Locust Abortion Technician|4|Butthole Surfers|1987|1527|too_few_lyrics
Locust Abortion Technician|5|Butthole Surfers|1987|1527|too_few_lyrics
Locust Abortion Technician|9|Butthole Surfers|1987|1527|too_few_lyrics
Roots|1|The Everly Brothers|1968|2224|too_few_lyrics
Ummagumma|2|Pink Floyd|1969|4488|too_few_lyrics
Ummagumma|4|Pink Floyd|1969|4488|too_few_lyrics
Ummagumma|5|Pink Floyd|1969|4488|too_few_lyrics
Ummagumma|9|Pink Floyd|1969|4488|too_few_lyrics
Eldorado|11|Electric Light Orchestra|1974|1401|too_few_lyrics
Once Upon a Time|11|Simple Minds|1985|1501|too_few_lyrics
Imidiwan: Companions|0|Tinariwen|2009|5041|not_found
Yellow & Green|1|Baroness|2012|5192|too_few_lyrics
Yellow & Green|10|Baroness|2012|5192|too_few_lyrics
Yellow & Green|16|Baroness|2012|5192|too_few_lyrics
Yellow & Green|18|Baroness|2012|5192|too_few_lyrics
Turn Out the Lights|1|Julien Baker|2017|5921|too_few_lyrics
Zuckerzeit|1|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|2|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|3|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|4|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|5|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|6|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|7|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|8|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|9|Cluster|1974|3286|too_few_lyrics
Zuckerzeit|10|Cluster|1974|3286|too_few_lyrics
O(+> ["Love Symbol Album"]|0|Prince & The New Power Generation|1992|1711|not_found
A Night in Tunisia|1|Art Blakey & The Jazz Messengers|1961|1875|too_few_lyrics
A Night in Tunisia|2|Art Blakey & The Jazz Messengers|1961|1875|too_few_lyrics
A Night in Tunisia|3|Art Blakey & The Jazz Messengers|1961|1875|too_few_lyrics
A Night in Tunisia|4|Art Blakey & The Jazz Messengers|1961|1875|too_few_lyrics
A Night in Tunisia|5|Art Blakey & The Jazz Messengers|1961|1875|too_few_lyrics
I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It|7|The 1975|2016|5816|too_few_lyrics
Lush Life: The Music of Billy Strayhorn|0|Joe Henderson|1992|2156|not_found
Guerrilla|7|Super Furry Animals|1999|3751|too_few_lyrics
