album|track|artist|year|id|reasonFail
Cosmogramma|4|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|5|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|6|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|8|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|10|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|12|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|13|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|14|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|15|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|17|Flying Lotus|2010|5065|too_few_lyrics
Cosmogramma|18|Flying Lotus|2010|5065|too_few_lyrics
1984|1|Van Halen|1984|629|too_few_lyrics
King Tubbys Meets Rockers Uptown|1|Augustus Pablo|1977|369|too_few_lyrics
King Tubbys Meets Rockers Uptown|2|Augustus Pablo|1977|369|too_few_lyrics
King Tubbys Meets Rockers Uptown|3|Augustus Pablo|1977|369|too_few_lyrics
King Tubbys Meets Rockers Uptown|5|Augustus Pablo|1977|369|too_few_lyrics
King Tubbys Meets Rockers Uptown|6|Augustus Pablo|1977|369|too_few_lyrics
King Tubbys Meets Rockers Uptown|8|Augustus Pablo|1977|369|too_few_lyrics
King Tubbys Meets Rockers Uptown|10|Augustus Pablo|1977|369|too_few_lyrics
King Tubbys Meets Rockers Uptown|11|Augustus Pablo|1977|369|too_few_lyrics
King Tubbys Meets Rockers Uptown|12|Augustus Pablo|1977|369|too_few_lyrics
John Barleycorn Must Die|1|Traffic|1970|209|too_few_lyrics
Toxicity|15|System of a Down|2001|1209|too_few_lyrics
Nashville Skyline|2|Bob Dylan|1969|175|too_few_lyrics
Remedy|7|Basement Jaxx|1999|1055|too_few_lyrics
Remedy|9|Basement Jaxx|1999|1055|too_few_lyrics
Remedy|11|Basement Jaxx|1999|1055|too_few_lyrics
Remedy|13|Basement Jaxx|1999|1055|too_few_lyrics
Red|1|King Crimson|1974|315|too_few_lyrics
Red|4|King Crimson|1974|315|too_few_lyrics
Jazz at Massey Hall/The Greatest Jazz Concert Ever|0|The Quintet|1953|1768|not_found
West Side Story|0|The Original Broadway Cast|1957|1827|not_found
My Favorite Things|1|John Coltrane|1961|1892|too_few_lyrics
My Favorite Things|2|John Coltrane|1961|1892|too_few_lyrics
My Favorite Things|3|John Coltrane|1961|1892|too_few_lyrics
My Favorite Things|4|John Coltrane|1961|1892|too_few_lyrics
Everything Must Go|13|Manic Street Preachers|1996|963|too_few_lyrics
Gentlemen|11|The Afghan Whigs|1993|882|too_few_lyrics
Somethin' Else|1|Cannonball Adderley|1958|1834|too_few_lyrics
Somethin' Else|2|Cannonball Adderley|1958|1834|too_few_lyrics
Somethin' Else|3|Cannonball Adderley|1958|1834|too_few_lyrics
Somethin' Else|4|Cannonball Adderley|1958|1834|too_few_lyrics
Somethin' Else|5|Cannonball Adderley|1958|1834|too_few_lyrics
Seventeen Seconds|1|The Cure|1980|509|too_few_lyrics
Seventeen Seconds|6|The Cure|1980|509|too_few_lyrics
Protection|4|Massive Attack|1994|915|too_few_lyrics
Protection|9|Massive Attack|1994|915|too_few_lyrics
Wheels of Fire|13|Cream|1968|139|too_few_lyrics
Woodstock|16|Various Artists|1970|207|too_few_lyrics
Blue Train|1|John Coltrane|1958|1815|too_few_lyrics
Blue Train|2|John Coltrane|1958|1815|too_few_lyrics
Blue Train|3|John Coltrane|1958|1815|too_few_lyrics
Blue Train|4|John Coltrane|1958|1815|too_few_lyrics
Blue Train|5|John Coltrane|1958|1815|too_few_lyrics
Blue Train|6|John Coltrane|1958|1815|too_few_lyrics
Blue Train|7|John Coltrane|1958|1815|too_few_lyrics
Blue Train|8|John Coltrane|1958|1815|too_few_lyrics
An Awesome Wave|5|alt-J|2012|5190|too_few_lyrics
An Awesome Wave|11|alt-J|2012|5190|too_few_lyrics
The Inner Mounting Flame|1|The Mahavishnu Orchestra|1971|2000|too_few_lyrics
The Inner Mounting Flame|2|The Mahavishnu Orchestra|1971|2000|too_few_lyrics
The Inner Mounting Flame|3|The Mahavishnu Orchestra|1971|2000|too_few_lyrics
The Inner Mounting Flame|4|The Mahavishnu Orchestra|1971|2000|too_few_lyrics
The Inner Mounting Flame|5|The Mahavishnu Orchestra|1971|2000|too_few_lyrics
The Inner Mounting Flame|6|The Mahavishnu Orchestra|1971|2000|too_few_lyrics
The Inner Mounting Flame|7|The Mahavishnu Orchestra|1971|2000|too_few_lyrics
The Inner Mounting Flame|8|The Mahavishnu Orchestra|1971|2000|too_few_lyrics
Shaking the Habitual|6|The Knife|2013|5328|too_few_lyrics
Shaking the Habitual|7|The Knife|2013|5328|too_few_lyrics
Shaking the Habitual|9|The Knife|2013|5328|too_few_lyrics
Shaking the Habitual|10|The Knife|2013|5328|too_few_lyrics
Shaking the Habitual|12|The Knife|2013|5328|too_few_lyrics
Basie/The Atomic Mr. Basie/The Complete Atomic Basie|0|Count Basie|1958|1812|not_found
Black on Both Sides|17|Mos Def|1999|1067|too_few_lyrics
m b v|8|My Bloody Valentine|2013|5346|too_few_lyrics
Waltz for Debby|1|Bill Evans|1962|1899|too_few_lyrics
Waltz for Debby|2|Bill Evans|1962|1899|too_few_lyrics
Waltz for Debby|3|Bill Evans|1962|1899|too_few_lyrics
Waltz for Debby|4|Bill Evans|1962|1899|too_few_lyrics
Waltz for Debby|5|Bill Evans|1962|1899|too_few_lyrics
Waltz for Debby|6|Bill Evans|1962|1899|too_few_lyrics
Waltz for Debby|7|Bill Evans|1962|1899|too_few_lyrics
Geogaddi|1|Boards of Canada|2002|1636|too_few_lyrics
